,H,C,Q,U_1,U_2,U_3,U_4,T_1,T_2,T_3,T_4,P,\eta
H,1.0000e+00,5.7202e-01,5.3973e-01,3.3701e-75,2.3374e-82,5.1064e-03,2.1162e-06,1.5131e-06,2.5524e-06,2.1293e-19,1.9901e-22,3.1854e-102,5.7390e-01
C,5.7202e-01,1.0000e+00,6.8621e-01,3.3412e-01,4.5363e-01,1.2221e-09,6.4732e-09,2.6003e-11,5.6870e-13,1.0184e-02,3.5209e-01,3.3623e-01,0.0000e+00
Q,5.3973e-01,6.8621e-01,1.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,3.4383e-88,3.3081e-92,0.0000e+00,6.3204e-01
U_1,3.3701e-75,3.3412e-01,0.0000e+00,1.0000e+00,0.0000e+00,7.4950e-247,4.2776e-212,0.0000e+00,0.0000e+00,1.0440e-126,8.4954e-145,0.0000e+00,3.2816e-01
U_2,2.3374e-82,4.5363e-01,0.0000e+00,0.0000e+00,1.0000e+00,4.9063e-232,1.8264e-212,0.0000e+00,0.0000e+00,1.3857e-115,1.0656e-130,0.0000e+00,4.5973e-01
U_3,5.1064e-03,1.2221e-09,0.0000e+00,7.4950e-247,4.9063e-232,1.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,4.0931e-68,2.0793e-68,1.6064e-159,1.0947e-09
U_4,2.1162e-06,6.4732e-09,0.0000e+00,4.2776e-212,1.8264e-212,0.0000e+00,1.0000e+00,0.0000e+00,0.0000e+00,7.1611e-58,1.9594e-59,1.3662e-135,5.9147e-09
T_1,1.5131e-06,2.6003e-11,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,6.1626e-123,1.2442e-114,0.0000e+00,3.1879e-11
T_2,2.5524e-06,5.6870e-13,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.0000e+00,2.4049e-111,5.6747e-115,0.0000e+00,5.6873e-13
T_3,2.1293e-19,1.0184e-02,3.4383e-88,1.0440e-126,1.3857e-115,4.0931e-68,7.1611e-58,6.1626e-123,2.4049e-111,1.0000e+00,2.1266e-45,2.5881e-165,1.1966e-02
T_4,1.9901e-22,3.5209e-01,3.3081e-92,8.4954e-145,1.0656e-130,2.0793e-68,1.9594e-59,1.2442e-114,5.6747e-115,2.1266e-45,1.0000e+00,4.3539e-176,3.4338e-01
P,3.1854e-102,3.3623e-01,0.0000e+00,0.0000e+00,0.0000e+00,1.6064e-159,1.3662e-135,0.0000e+00,0.0000e+00,2.5881e-165,4.3539e-176,1.0000e+00,3.4014e-01
\eta,5.7390e-01,0.0000e+00,6.3204e-01,3.2816e-01,4.5973e-01,1.0947e-09,5.9147e-09,3.1879e-11,5.6873e-13,1.1966e-02,3.4338e-01,3.4014e-01,1.0000e+00
