,H,C,Q,U_1,U_2,U_3,U_4,T_1,T_2,T_3,T_4,P,\eta
H,1.0000,-0.2669,0.1812,-0.5536,-0.5440,-0.2737,-0.2889,-0.0360,-0.0349,0.3776,0.4009,-0.5682,-0.2671
C,-0.2669,1.0000,0.2899,0.0678,0.0650,0.1239,0.1637,0.0602,0.0670,-0.0705,-0.1403,0.0923,0.9997
Q,0.1812,0.2899,1.0000,-0.4351,-0.4288,0.0329,0.0551,0.1971,0.2554,0.2391,0.2151,-0.4329,0.2905
U_1,-0.5536,0.0678,-0.4351,1.0000,0.6746,0.3579,0.3685,0.0533,0.0471,-0.5063,-0.4820,0.8332,0.0675
U_2,-0.5440,0.0650,-0.4288,0.6746,1.0000,0.3676,0.3620,0.0972,0.0714,-0.4888,-0.4750,0.8192,0.0655
U_3,-0.2737,0.1239,0.0329,0.3579,0.3676,1.0000,0.5127,0.3418,0.3712,-0.3447,-0.4049,0.5144,0.1249
U_4,-0.2889,0.1637,0.0551,0.3685,0.3620,0.5127,1.0000,0.3457,0.3691,-0.3560,-0.3512,0.5090,0.1647
T_1,-0.0360,0.0602,0.1971,0.0533,0.0972,0.3418,0.3457,1.0000,0.3320,-0.1611,-0.1766,-0.0643,0.0610
T_2,-0.0349,0.0670,0.2554,0.0471,0.0714,0.3712,0.3691,0.3320,1.0000,-0.1092,-0.1560,-0.0633,0.0678
T_3,0.3776,-0.0705,0.2391,-0.5063,-0.4888,-0.3447,-0.3560,-0.1611,-0.1092,1.0000,0.3936,-0.5357,-0.0707
T_4,0.4009,-0.1403,0.2151,-0.4820,-0.4750,-0.4049,-0.3512,-0.1766,-0.1560,0.3936,1.0000,-0.5109,-0.1408
P,-0.5682,0.0923,-0.4329,0.8332,0.8192,0.5144,0.5090,-0.0643,-0.0633,-0.5357,-0.5109,1.0000,0.0924
\eta,-0.2671,0.9997,0.2905,0.0675,0.0655,0.1249,0.1647,0.0610,0.0678,-0.0707,-0.1408,0.0924,1.0000
