,H,C,Q,U_1,U_2,U_3,U_4,T_1,T_2,T_3,T_4,P,\eta
H,1.0000,-0.1758,-0.3281,0.3114,0.2611,-0.1411,-0.1071,-0.3681,-0.3687,-0.2729,-0.2501,0.3508,-0.1758
C,-0.1758,1.0000,-0.4089,-0.5129,-0.5081,-0.3537,-0.3763,-0.2178,-0.1976,0.2029,0.1691,-0.5620,0.9998
Q,-0.3281,-0.4089,1.0000,0.1312,0.1436,0.2323,0.2402,0.2527,0.2598,0.0315,0.0582,0.1330,-0.4092
U_1,0.3114,-0.5129,0.1312,1.0000,0.4647,0.2720,0.2802,0.0896,0.0802,-0.2222,-0.1945,0.7485,-0.5132
U_2,0.2611,-0.5081,0.1436,0.4647,1.0000,0.2875,0.3128,0.1315,0.1100,-0.2096,-0.1880,0.7346,-0.5075
U_3,-0.1411,-0.3537,0.2323,0.2720,0.2875,1.0000,0.3481,0.2698,0.3217,-0.0956,-0.0704,0.5100,-0.3530
U_4,-0.1071,-0.3763,0.2402,0.2802,0.3128,0.3481,1.0000,0.2858,0.2947,-0.1074,-0.1041,0.5314,-0.3765
T_1,-0.3681,-0.2178,0.2527,0.0896,0.1315,0.2698,0.2858,1.0000,0.3039,0.0561,0.0222,-0.0016,-0.2171
T_2,-0.3687,-0.1976,0.2598,0.0802,0.1100,0.3217,0.2947,0.3039,1.0000,0.0405,0.0346,0.0015,-0.1981
T_3,-0.2729,0.2029,0.0315,-0.2222,-0.2096,-0.0956,-0.1074,0.0561,0.0405,1.0000,0.2516,-0.3625,0.2031
T_4,-0.2501,0.1691,0.0582,-0.1945,-0.1880,-0.0704,-0.1041,0.0222,0.0346,0.2516,1.0000,-0.3252,0.1687
P,0.3508,-0.5620,0.1330,0.7485,0.7346,0.5100,0.5314,-0.0016,0.0015,-0.3625,-0.3252,1.0000,-0.5617
\eta,-0.1758,0.9998,-0.4092,-0.5132,-0.5075,-0.3530,-0.3765,-0.2171,-0.1981,0.2031,0.1687,-0.5617,1.0000
