,H,C,Q,U_1,U_2,U_3,U_4,T_1,T_2,T_3,T_4,P,\eta
H,1.0000e+00,3.9803e-35,9.3718e-17,9.4467e-167,6.1981e-160,6.4180e-37,4.0749e-41,1.0166e-01,1.1260e-01,3.3754e-71,7.5574e-81,1.8215e-177,3.4580e-35
C,3.9803e-35,1.0000e+00,2.1548e-41,2.0242e-03,3.0711e-03,1.5390e-08,6.3963e-14,6.1001e-03,2.2642e-03,1.3122e-03,1.4241e-10,2.6012e-05,0.0000e+00
Q,9.3718e-17,2.1548e-41,1.0000e+00,1.8741e-96,1.8281e-93,1.3446e-01,1.2097e-02,1.3816e-19,3.1904e-32,2.4641e-28,4.0407e-23,2.1586e-95,1.3697e-41
U_1,9.4467e-167,2.0242e-03,1.8741e-96,1.0000e+00,3.5029e-275,1.2138e-63,1.1687e-67,1.5197e-02,3.1874e-02,2.5388e-135,5.5668e-121,0.0000e+00,2.1031e-03
U_2,6.1981e-160,3.0711e-03,1.8281e-93,3.5029e-275,1.0000e+00,2.6783e-67,3.3967e-65,9.4117e-06,1.1520e-03,7.2169e-125,4.2183e-117,0.0000e+00,2.8688e-03
U_3,6.4180e-37,1.5390e-08,1.3446e-01,1.2138e-63,2.6783e-67,1.0000e+00,2.9417e-139,7.0694e-58,1.0937e-68,7.0214e-59,1.4697e-82,2.4894e-140,1.1764e-08
U_4,4.0749e-41,6.3963e-14,1.2097e-02,1.1687e-67,3.3967e-65,2.9417e-139,1.0000e+00,3.1051e-59,6.7131e-68,5.7383e-63,3.3412e-61,5.3182e-137,4.5557e-14
T_1,1.0166e-01,6.1001e-03,1.3816e-19,1.5197e-02,9.4117e-06,7.0694e-58,3.1051e-59,1.0000e+00,1.6880e-54,1.6038e-13,5.5039e-16,3.4051e-03,5.4558e-03
T_2,1.1260e-01,2.2642e-03,3.1904e-32,3.1874e-02,1.1520e-03,1.0937e-68,6.7131e-68,1.6880e-54,1.0000e+00,6.2336e-07,9.4229e-13,3.9596e-03,2.0311e-03
T_3,3.3754e-71,1.3122e-03,2.4641e-28,2.5388e-135,7.2169e-125,7.0214e-59,5.7383e-63,1.6038e-13,6.2336e-07,1.0000e+00,9.5998e-78,3.0114e-154,1.2728e-03
T_4,7.5574e-81,1.4241e-10,4.0407e-23,5.5668e-121,4.2183e-117,1.4697e-82,3.3412e-61,5.5039e-16,9.4229e-13,9.5998e-78,1.0000e+00,3.6570e-138,1.2162e-10
P,1.8215e-177,2.6012e-05,2.1586e-95,0.0000e+00,0.0000e+00,2.4894e-140,5.3182e-137,3.4051e-03,3.9596e-03,3.0114e-154,3.6570e-138,1.0000e+00,2.5225e-05
\eta,3.4580e-35,0.0000e+00,1.3697e-41,2.1031e-03,2.8688e-03,1.1764e-08,4.5557e-14,5.4558e-03,2.0311e-03,1.2728e-03,1.2162e-10,2.5225e-05,1.0000e+00
