,H,C,Q,U_1,U_2,U_3,U_4,T_1,T_2,T_3,T_4,P,\eta
H,1.0000e+00,8.1914e-14,6.7711e-46,2.8485e-41,4.2216e-29,2.3028e-09,5.9693e-06,3.5463e-58,2.2400e-58,9.8350e-32,9.4155e-27,1.2082e-52,8.1676e-14
C,8.1914e-14,1.0000e+00,1.2580e-72,6.5602e-120,2.5728e-117,1.4876e-53,6.3254e-61,1.5839e-20,4.1731e-17,5.7064e-18,7.0786e-13,1.3809e-148,0.0000e+00
Q,6.7711e-46,1.2580e-72,1.0000e+00,2.8056e-08,1.1692e-09,3.2440e-23,9.6189e-25,2.6523e-27,8.1036e-29,1.8393e-01,1.4090e-02,1.8228e-08,9.4432e-73
U_1,2.8485e-41,6.5602e-120,2.8056e-08,1.0000e+00,6.1372e-96,1.5828e-31,1.9978e-33,1.5432e-04,7.1411e-04,2.4963e-21,1.2718e-16,3.2887e-319,4.7830e-120
U_2,4.2216e-29,2.5728e-117,1.1692e-09,6.1372e-96,1.0000e+00,3.4495e-35,1.1572e-41,2.6165e-08,3.3594e-06,4.1907e-19,1.3312e-15,1.7854e-301,5.4570e-117
U_3,2.3028e-09,1.4876e-53,3.2440e-23,1.5828e-31,3.4495e-35,1.0000e+00,8.4227e-52,4.8962e-31,4.2202e-44,5.3888e-05,2.9633e-03,2.4826e-118,2.4515e-53
U_4,5.9693e-06,6.3254e-61,9.6189e-25,1.9978e-33,1.1572e-41,8.4227e-52,1.0000e+00,8.8967e-35,5.9049e-37,5.6312e-06,1.0818e-05,3.6625e-130,5.6560e-61
T_1,3.5463e-58,1.5839e-20,2.6523e-27,1.5432e-04,2.6165e-08,4.8962e-31,8.8967e-35,1.0000e+00,2.6955e-39,1.8002e-02,3.5009e-01,9.4583e-01,2.1151e-20
T_2,2.2400e-58,4.1731e-17,8.1036e-29,7.1411e-04,3.3594e-06,4.2202e-44,5.9049e-37,2.6955e-39,1.0000e+00,8.7875e-02,1.4417e-01,9.5124e-01,3.3706e-17
T_3,9.8350e-32,5.7064e-18,1.8393e-01,2.4963e-21,4.1907e-19,5.3888e-05,5.6312e-06,1.8002e-02,8.7875e-02,1.0000e+00,4.5122e-27,2.5141e-56,5.3004e-18
T_4,9.4155e-27,7.0786e-13,1.4090e-02,1.2718e-16,1.3312e-15,2.9633e-03,1.0818e-05,3.5009e-01,1.4417e-01,4.5122e-27,1.0000e+00,4.6551e-45,8.0027e-13
P,1.2082e-52,1.3809e-148,1.8228e-08,3.2887e-319,1.7854e-301,2.4826e-118,3.6625e-130,9.4583e-01,9.5124e-01,2.5141e-56,4.6551e-45,1.0000e+00,2.1164e-148
\eta,8.1676e-14,0.0000e+00,9.4432e-73,4.7830e-120,5.4570e-117,2.4515e-53,5.6560e-61,2.1151e-20,3.3706e-17,5.3004e-18,8.0027e-13,2.1164e-148,1.0000e+00
